Model,Craton,biasp,Grade,Q4YN,Category,GPMDB_result#,Plon,Plat,poleA95,FROMAGE,TOAGE,plateid,RlonMin,RlatMin,RecEMin,RecEMinAge,Description
TC16,Baltica,66.1,B-grade,Q4N,B,9918,126.7,-17.3,6.0,570.0,544.0,302,-17.9,114.7,72.1,550.0,Chernokamenskay group sediments
TC16,Baltica,70.1,B-grade,Q4N,B,9919,187.3,1.1,5.8,567.0,557.0,302,14.1,33.2,75.9,567.0,Basu-Kukkarauk formation
TC16,Baltica,76.2,B-grade,Q4N,B,MEAN,113.0,-31.3,9.9,556.0,555.0,302,-3.9,119.9,86.1,556.0,"MEAN Vendian White Sea sediments (3 studies, weighted by specimens)"
TC16,Baltica,67.0,B-grade,Q4N,B,9535,138.4,-16.2,4.1,551.0,544.0,302,-18.9,102.9,71.1,550.0,Zigan formation clastic rocks
TC16,Laurentia,31.7,B-grade,Q4Y,Bq4,6934–6936,355.3,19.0,17.4,617.0,613.0,101,-40.9,-15.3,49.1,617.0,
TC16,Laurentia,11.3,B-grade,Q4N,B,9364,332.7,42.6,12.0,585.0,581.0,101,-66.7,-54.5,23.3,581.0,Baie des Moutons complex—A comp.
TC16,Laurentia,58.2,B-grade,Q4N,B,9365,321.5,-34.2,15.4,585.0,581.0,101,-16.4,40.7,73.6,585.0,Baie des Moutons complex—B comp.
TC16,InErr,0.0,B-grade,Q4Y,Bq4,6458,301.4,46.3,6.0,580.0,570.0,101,-87.1,179.7,2.9,570.0,Callander Alkaline Complex
TC16,InErr,0.0,B-grade,Q4Y,Bq4,7474,296.7,42.0,17.5,577.0,567.0,101,-85.3,155.7,4.7,577.0,Catoctin Basalts—A comp.
TC16,Laurentia,31.4,B-grade,Q4Y,Bq4,1752,321.0,-20.0,6.7,569.0,561.0,101,-51.9,50.3,38.1,561.0,Sept-Iles Layered Intrusion—A comp.
TC16,Rio,19.1,B-grade,Q4N,B,9520,183.1,-58.8,12.1,610.0,578.0,202,-58.8,-176.9,31.2,600.5,
TC16,Rio,18.1,A-grade,Q4Y,Aq4,9519,258.9,-12.2,13.9,583.0,573.0,202,-58.0,155.5,32.0,573.0,Sierra de las Animas complex
TC16,Congo,48.9,B-grade,Q4N,B,9276,304.8,-61.8,7.6,577.0,565.0,701,-33.5,140.7,56.5,565.0,
TC16,Congo,18.4,A-grade,Q4N,A,8126,319.0,-29.0,3.9,551.0,543.0,701,-67.7,145.6,22.3,550.0,Sinyai Metadolerite
TC16,W.Africa,41.3,B-grade,Q4Y,Bq4,9903,295.6,-57.6,15.7,577.0,564.0,714,-33.0,145.7,57.0,564.0,
TC16,W.Africa,49.5,B-grade,Q4Y,Bq4,9901,31.0,21.9,15.6,572.0,551.0,714,-24.9,7.9,65.1,572.0,"Tadoughast and Fajjoud Formations, upper Ouarzazate Group—pole B1"
TC16,W.Africa,26.2,B-grade,Q4Y,Bq4,9902,27.1,27.3,14.9,547.0,526.0,714,-48.9,-27.0,41.1,526.0,Djebel Boho—pole B2
